trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 1.0}",30,0,-109.60641889414822,"{0: 17, 1: 7, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.02, 'e': 0.9801986733067553}",20,0,-51.79227157795213,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.02, 'e': 0.9607894391523232}",25,0,-86.6070888623835,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.02, 'e': 0.9417645335842487}",25,0,-110.10475105954328,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.02, 'e': 0.9231163463866358}",20,0,-123.63845411819871,"{0: 7, 1: 5, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.02, 'e': 0.9048374180359595}",20,0,-118.04806987579528,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.02, 'e': 0.8869204367171575}",20,0,-56.59251260917292,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.02, 'e': 0.8693582353988059}",25,0,-132.53149587057717,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.02, 'e': 0.8521437889662113}",20,0,-134.20562525775637,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
10,False,"{'a': 0.02, 'e': 0.835270211411272}",20,0,-47.85965745117967,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.02, 'e': 0.8187307530779818}",20,0,-58.89143052517154,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.02, 'e': 0.8025187979624785}",20,0,-18.386680650198507,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.02, 'e': 0.7866278610665535}",25,0,-106.07388561372022,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.02, 'e': 0.7710515858035663}",20,0,-129.855921637255,"{0: 6, 1: 3, 2: 10, 3: 1, 4: 0}",0
15,False,"{'a': 0.02, 'e': 0.7557837414557255}",20,0,-36.784705374823524,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.02, 'e': 0.7408182206817179}",25,0,-158.5672047536752,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
17,False,"{'a': 0.02, 'e': 0.7261490370736909}",30,0,-69.39640311922246,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.02, 'e': 0.7117703227626097}",25,5,-68.09908608579711,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",1
19,False,"{'a': 0.02, 'e': 0.697676326071031}",30,0,14.329544181308604,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.02, 'e': 0.6838614092123558}",25,5,-104.22037656391151,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",1
21,False,"{'a': 0.02, 'e': 0.6703200460356393}",25,17,-37.28527603117238,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 0.02, 'e': 0.6570468198150567}",30,16,-31.855553482592732,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
23,False,"{'a': 0.02, 'e': 0.6440364210831414}",25,0,-53.463895763340474,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.02, 'e': 0.631283645506926}",20,2,-12.348039211350265,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
25,False,"{'a': 0.02, 'e': 0.6187833918061408}",20,0,3.8646733402829465,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.02, 'e': 0.6065306597126334}",25,0,-59.150643317540414,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
27,False,"{'a': 0.02, 'e': 0.5945205479701944}",25,11,0.5564548266843781,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.02, 'e': 0.5827482523739896}",30,0,-150.88239055111612,"{0: 21, 1: 1, 2: 3, 3: 3, 4: 2}",0
29,False,"{'a': 0.02, 'e': 0.5712090638488149}",25,0,-53.4322604262335,"{0: 19, 1: 2, 2: 1, 3: 3, 4: 0}",0
30,False,"{'a': 0.02, 'e': 0.559898366565402}",20,12,-3.8373887562774414,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
