trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 1.0}",25,0,-154.3135487354609,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.02, 'e': 0.9801986733067553}",25,0,-182.84721058930313,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.02, 'e': 0.9607894391523232}",20,10,1.7668539161094254,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.02, 'e': 0.9417645335842487}",20,0,-85.76358994026202,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.02, 'e': 0.9231163463866358}",25,0,-137.38423165883862,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.02, 'e': 0.9048374180359595}",25,0,-124.31618584718241,"{0: 15, 1: 6, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.02, 'e': 0.8869204367171575}",25,0,-144.2621800643144,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.02, 'e': 0.8693582353988059}",20,0,-107.78370219200102,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.02, 'e': 0.8521437889662113}",20,0,-83.15234959921229,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.02, 'e': 0.835270211411272}",20,0,-30.36182561712596,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.02, 'e': 0.8187307530779818}",25,0,-101.52662111697275,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
12,False,"{'a': 0.02, 'e': 0.8025187979624785}",20,0,-19.46655564717726,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.02, 'e': 0.7866278610665535}",30,0,-123.26312937835935,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.02, 'e': 0.7710515858035663}",20,0,-108.14564449291834,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.02, 'e': 0.7557837414557255}",20,0,-39.36908579553241,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.02, 'e': 0.7408182206817179}",20,0,-104.70528346427838,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.02, 'e': 0.7261490370736909}",25,0,-25.71413620058216,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.02, 'e': 0.7117703227626097}",20,8,-52.76542639033353,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
19,False,"{'a': 0.02, 'e': 0.697676326071031}",30,0,-234.77450462362998,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 5}",0
20,False,"{'a': 0.02, 'e': 0.6838614092123558}",30,0,-85.01205036362269,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.02, 'e': 0.6703200460356393}",25,0,-70.31154489647872,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.02, 'e': 0.6570468198150567}",25,11,-49.712226175872956,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
23,False,"{'a': 0.02, 'e': 0.6440364210831414}",35,10,-43.023344962835715,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",1
24,False,"{'a': 0.02, 'e': 0.631283645506926}",20,0,-7.947615054727151,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.02, 'e': 0.6187833918061408}",20,0,-72.90599584343911,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.02, 'e': 0.6065306597126334}",20,0,-51.49065862482898,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.02, 'e': 0.5945205479701944}",20,3,-21.347165989788767,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
28,False,"{'a': 0.02, 'e': 0.5827482523739896}",20,9,-9.706986650033404,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.02, 'e': 0.5712090638488149}",25,15,-1.6415236390962569,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.02, 'e': 0.559898366565402}",35,14,-7.648087343574284,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 0}",1
31,False,"{'a': 0.02, 'e': 0.5488116360940265}",20,10,5.352470915178971,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.02, 'e': 0.5379444375946745}",30,0,-130.37331639875043,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
33,False,"{'a': 0.02, 'e': 0.5272924240430485}",25,0,-138.38111352238224,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
34,False,"{'a': 0.02, 'e': 0.5168513344916992}",20,0,-128.05440989574512,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
35,False,"{'a': 0.02, 'e': 0.5066169923655895}",25,6,-58.788401647133924,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 1}",1
36,False,"{'a': 0.02, 'e': 0.49658530379140947}",20,3,-28.673850210910434,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
37,False,"{'a': 0.02, 'e': 0.4867522559599717}",35,20,-64.57724340763264,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 1}",1
38,False,"{'a': 0.02, 'e': 0.4771139155210344}",25,0,-84.45100181498938,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
39,False,"{'a': 0.02, 'e': 0.46766642700990924}",30,8,-126.41016207423155,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 3}",1
40,False,"{'a': 0.02, 'e': 0.4584060113052235}",25,14,16.49672926828855,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.02, 'e': 0.44932896411722156}",20,0,-37.878496993230684,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
42,False,"{'a': 0.02, 'e': 0.44043165450599925}",20,7,-55.644113996783574,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
43,False,"{'a': 0.02, 'e': 0.43171052342907973}",30,14,5.999294814772021,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
