trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-255.33405402933326,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,9,-15.942676020351211,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.76738528356117,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.30410172870769,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,10,-25.01047249977527,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.66314780935565,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.804819181291,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.03064429822402,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.33127321920463,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.02376987875112,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-194.1777640403847,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.08123395037234,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.36904878056865,"{0: 14, 1: 3, 2: 3, 3: 5, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.22122303562963,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.60145991411892,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.8467426365671,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.265768551553,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.26342993282674,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-226.85162419833185,"{0: 13, 1: 3, 2: 10, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-97.67174842829446,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-104.35775802505857,"{0: 21, 1: 4, 2: 9, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-156.4879408405826,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.37324664360624,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.05512042039163,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-36.503292174621535,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-194.3462729652716,"{0: 12, 1: 6, 2: 8, 3: 3, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-171.3144111374705,"{0: 16, 1: 8, 2: 1, 3: 3, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-164.74454914491193,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-202.37172515468376,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.51714489270344,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
